"Theme"	"granularity"	2014	2015	2016	2017	2018	
"Discovery"	"overall"	"$887.60"	"$887.60"	"$887.60"	"$887.60"	"$887.60"	
"Functional ingredients"	"overall"	"$536.23"	"$536.23"	"$536.23"	"$536.23"	"$536.23"	
"Healthy Aging"	"overall"	"$180.94"	"$180.94"	"$180.94"	"$180.94"	"$180.94"	
"Natural Flavors"	"overall"	"$2,736.39"	"$2,736.39"	"$2,736.39"	"$2,736.39"	"$2,736.39"	
"personalized nutrition"	"overall"	"$87.54"	"$87.54"	"$87.54"	"$87.54"	"$87.54"	
"Protein"	"overall"	"$508.22"	"$508.22"	"$508.22"	"$508.22"	"$508.22"	
"snacking"	"overall"	"$127.25"	"$127.25"	"$127.25"	"$127.25"	"$127.25"	
"Sports nutrition"	"overall"	"$32.36"	"$32.36"	"$32.36"	"$32.36"	"$32.36"	
"sugar reduction"	"overall"	"$363.16"	"$363.16"	"$363.16"	"$363.16"	"$363.16"	
"sustainability"	"overall"	"$623.03"	"$623.03"	"$623.03"	"$623.03"	"$623.03"	
							
							
							
"Theme"	"granularity"	2018	"CAGR"	"predicted_size"			"Theme"
"Discovery"	"overall"	"$887.60"	"9%"	"$970.23"			"granularity"
"Functional ingredients"	"overall"	"$536.23"	"8%"	"$580.61"			"Year"
"Healthy Aging"	"overall"	"$180.94"	"3%"	"$187.04"			"Value "
"Natural Flavors"	"overall"	"$2,736.39"	"5%"	"$2,872.32"			"Predicted_Value"
"personalized nutrition"	"overall"	"$87.54"	"20%"	"$105.42"			"CAGR"
"Protein"	"overall"	"$508.22"	"5%"	"$532.30"			
"snacking"	"overall"	"$127.25"	"4%"	"$132.34"			
"Sports nutrition"	"overall"	"$32.36"	"1%"	"$32.69"			
"sugar reduction"	"overall"	"$363.16"	"14%"	"$413.77"			
"sustainability"	"overall"	"$623.03"	"25%"	"$776.65"			
